Date,Open,High,Low,Close,Volume
22/02/18,695,705,692.099976,696.849976,530302
23/02/18,699,708.5,698.099976,706.75,300185
26/02/18,711.900024,718.299988,707.200012,711.049988,351249
27/02/18,714.5,715.099976,700.5,703.799988,557745
28/02/18,699.799988,710.5,698,704.650024,477028
01/03/18,704,708.650024,696.049988,699.700012,591242
05/03/18,698.150024,698.900024,673,677.599976,684324
06/03/18,681,689,671.5,673.599976,601845
07/03/18,673.799988,681,669.150024,677.400024,731561
08/03/18,682,700.349976,666.950012,695.049988,1086444
09/03/18,699.799988,699.950012,680.75,686.900024,558095
12/03/18,692.549988,693,681.150024,689.549988,255384
13/03/18,687.099976,698.599976,687.099976,691.25,667251
14/03/18,691.049988,693.400024,683.400024,688.900024,355614
15/03/18,688.099976,694.400024,681.25,683.349976,485178
16/03/18,682,689,677,682.099976,373392
19/03/18,679,682.549988,663.299988,667.049988,668773
20/03/18,664,676,658,671.700012,571338
21/03/18,671,680.549988,666.799988,669.099976,307362
22/03/18,669.099976,673.799988,662.950012,666.049988,364267
23/03/18,650,669.549988,650,667.5,333100
26/03/18,670,687.450012,661.400024,678.700012,554915
27/03/18,677.200012,694,677.200012,690.650024,413012
28/03/18,690.099976,691.75,674,677.150024,860375
02/04/18,683.950012,693.75,679.25,691.299988,524043
03/04/18,698.950012,721.599976,697.75,716.799988,2523908
04/04/18,721.950012,722,706,708.049988,710705
05/04/18,712.5,728.450012,711.950012,715.599976,893018
06/04/18,721.5,728,713,724.049988,536188
09/04/18,730,731.349976,719,720.25,911604
10/04/18,721.049988,725.450012,717,720.900024,571327
11/04/18,721.099976,722.25,712.200012,718.099976,314432
12/04/18,717,727.799988,714.25,725.650024,437308
13/04/18,730,733.950012,721.150024,727.549988,691054
16/04/18,726,740.650024,721.200012,737.900024,1103099
17/04/18,743.5,747,736.599976,738.900024,1137927
18/04/18,745.299988,746.799988,730.799988,735.950012,716807
19/04/18,735,742.400024,729,738.049988,752482
20/04/18,736.549988,738.849976,728.5,734.799988,282896
23/04/18,734.799988,735.950012,729.349976,731.75,250258
24/04/18,729,735.650024,723.799988,729.349976,243718
25/04/18,728.5,729.799988,711.75,718,633941
26/04/18,719.900024,729.799988,714.299988,722.75,1283567
27/04/18,723,742.200012,718.599976,736.950012,637514
30/04/18,741,775.849976,740.049988,763.75,2393345
02/05/18,770.049988,785.549988,757.200012,767.200012,2105546
03/05/18,766.950012,778,760.599976,769.349976,1200547
04/05/18,769,787.5,760,765.900024,1690852
07/05/18,769.400024,769.400024,752.849976,758.450012,633814
08/05/18,761,772,759.200012,766.299988,1111872
09/05/18,770,773.900024,764.200012,765.299988,758225
10/05/18,766,772.400024,760.400024,768.75,1033867
11/05/18,770,778.900024,763.5,775.599976,677906
14/05/18,784.900024,786.450012,713.599976,776.299988,1743792
15/05/18,772.25,778.299988,741.599976,744.400024,1184700
16/05/18,736.099976,750.700012,727,729.549988,554248
17/05/18,735,752.450012,729.099976,744.900024,737879
18/05/18,744.150024,745.400024,714.799988,719.5,674552
21/05/18,727,759,709,734.950012,2512885
22/05/18,733.950012,733.950012,720.049988,727.75,930780
23/05/18,727,734.5,719.099976,723,955476
24/05/18,723.650024,726.950012,707,717.650024,495597
25/05/18,718.400024,742.299988,718.400024,735.099976,926338
28/05/18,736.5,746.400024,728,739.900024,467342
29/05/18,742.900024,743,722.049988,725,305939
30/05/18,723.900024,734,719.099976,728.25,446845
31/05/18,729.400024,748,729.299988,741.400024,1380216
01/06/18,747.900024,747.900024,732.099976,735.349976,1010232
04/06/18,737.099976,738.849976,724.5,732.049988,519306
05/06/18,730,732,707.5,725.849976,617860
06/06/18,728.950012,734.799988,721.099976,730.700012,1152375
07/06/18,727.099976,743,725.200012,739.950012,821173
08/06/18,737.5,743.450012,731.150024,739.049988,521629
11/06/18,741.950012,749.049988,729.700012,732.400024,528541
12/06/18,731,747.75,728.150024,745.200012,515185
13/06/18,742.400024,743.049988,731.599976,741.349976,618396
14/06/18,739.5,740.25,733.5,739.099976,326626
15/06/18,738,744,729.650024,739.700012,679782
18/06/18,740,744,730,732.400024,297608
19/06/18,732.400024,732.400024,719.150024,724.099976,377308
20/06/18,725,732.549988,715.75,729.75,236118
21/06/18,728.099976,739.950012,726.099976,729.049988,606392
22/06/18,726.049988,728.5,715.099976,719.5,542475
25/06/18,718,723.700012,715.25,716.599976,293993
26/06/18,713.099976,713.25,698.25,706.799988,517118
27/06/18,705.5,712.799988,701.049988,707,648866
28/06/18,705,706.799988,682.5,689.599976,572346
29/06/18,691.400024,701,685.25,697.849976,348712
02/07/18,700,701,681.049988,692.200012,348521
03/07/18,687.299988,718,685,703.650024,678080
04/07/18,703.650024,705,689.799988,691.650024,358908
05/07/18,692.599976,696,683.400024,693.400024,370107
06/07/18,691.599976,704.450012,688,702.25,384491
09/07/18,704.099976,716.400024,704.099976,711.950012,557938
10/07/18,714,726.799988,707.200012,710.299988,504671
11/07/18,708.400024,716.900024,698.599976,705.349976,651085
12/07/18,707.5,716.200012,707.25,713.75,561134
13/07/18,720,720.200012,704,706.099976,520976
16/07/18,682.900024,684.5,667,669.450012,530357
17/07/18,669.849976,686.700012,662.349976,683.950012,462862
18/07/18,686,692.400024,663.099976,667.400024,553527
19/07/18,668.049988,677.650024,657,666.75,615433
20/07/18,669,670.450012,658.950012,660.150024,310769
23/07/18,662,674.75,656,669.700012,623940
24/07/18,670,682.650024,667.849976,670.549988,479280
25/07/18,672,678.049988,666,672.200012,374649
26/07/18,672.25,682.25,669.599976,673.849976,582994
27/07/18,674,687.549988,673.900024,679.450012,301600
30/07/18,680,689.049988,678.25,685.25,256631
31/07/18,684.25,694.25,680.849976,688.900024,291731
01/08/18,690,692,682.599976,684.900024,224066
02/08/18,684.950012,699.299988,676.400024,690.099976,497811
03/08/18,690.049988,703,686.150024,693.049988,796655
06/08/18,694.200012,701,690.200012,693,200247
07/08/18,693.049988,695.799988,664.400024,668.349976,999044
08/08/18,669.950012,684,666,671.650024,731186
09/08/18,674.950012,678.799988,670,674.599976,215662
10/08/18,675.450012,678.5,670,672.799988,425905
13/08/18,669.099976,681,665.400024,675.849976,360175
14/08/18,674.5,682.799988,648.25,677.75,2817869
16/08/18,680.25,704.900024,674,694.950012,1509612
17/08/18,702,713.75,694.099976,707.799988,836929
20/08/18,714.950012,715.299988,697.75,703.650024,1215007
21/08/18,707.650024,710.849976,700,708.25,417098
23/08/18,712,714.549988,702,709.049988,421081
24/08/18,710.299988,733.150024,710.099976,729.849976,1878469
27/08/18,734.900024,750.650024,726.849976,748.950012,1642277
28/08/18,750.5,757.400024,741,749.400024,1052608
29/08/18,750.799988,762.5,750.099976,757.700012,1045933
30/08/18,754.25,766.599976,744.549988,759.900024,1093443
31/08/18,757.5,769.799988,754.549988,759.650024,492332
03/09/18,760,782,756,767.950012,1081754
04/09/18,765,765,744.349976,748.75,972580
05/09/18,741.200012,748.950012,733.950012,740.900024,771705
06/09/18,743,758.900024,738,743.900024,589823
07/09/18,743,764.849976,739,760.599976,669449
10/09/18,759.650024,763,745.099976,747,366378
11/09/18,745.299988,749.049988,735,738.099976,565374
12/09/18,734,751.25,724.75,748.25,304520
14/09/18,751,756.400024,742.349976,746.700012,376884
17/09/18,746.5,762.5,740,751,454647
18/09/18,751.400024,752.650024,733.5,741.150024,402422
19/09/18,742.549988,746.950012,734.75,738.75,259730
21/09/18,738,743.950012,675.099976,736.75,1526712
24/09/18,734,734.049988,703,707.950012,328221
25/09/18,707.75,717.650024,688.25,710.799988,380391
26/09/18,712.099976,712.950012,695.200012,699,296103
27/09/18,697.099976,698.75,679.299988,681.849976,560271
28/09/18,682.099976,697.799988,675.75,692.400024,731534
01/10/18,696.549988,696.549988,670.5,690.5,368383
03/10/18,692,696,666.049988,669.25,507086
04/10/18,660,671.950012,650.5,660.25,363673
05/10/18,659,664.950012,646.049988,655.549988,389183
08/10/18,655,662.5,630.450012,640.25,718771
09/10/18,638,643.450012,622,635.75,371254
10/10/18,631.5,657,628.950012,649.5,584279
11/10/18,639.849976,650.150024,623.099976,634.349976,705221
12/10/18,640,659.799988,637.299988,655.950012,416494
15/10/18,661,661,641,649.799988,528471
16/10/18,657,687,654,676.549988,826737
17/10/18,678.200012,686.599976,663.75,670.099976,408332
19/10/18,667.700012,676.349976,652.5,671.950012,302069
22/10/18,674,685,662.299988,669.349976,457266
23/10/18,661,676.950012,660,671.5,380857
24/10/18,673,679.5,661.400024,668.349976,442383
25/10/18,661.5,681.5,653.599976,666.5,671366
26/10/18,664,675,652.5,671,436332
29/10/18,674,688.650024,667.650024,685.200012,558422
30/10/18,686,687.950012,674.049988,681.150024,321099
31/10/18,681.549988,690,670.400024,685.75,287891
01/11/18,686.799988,693.950012,679.849976,688,418515
02/11/18,694.75,712.299988,690.549988,696.150024,643431
05/11/18,692.950012,693,668,680.150024,1102545
06/11/18,681.25,703.950012,681.25,693.799988,545326
07/11/18,697.900024,704.849976,697.799988,702.349976,81891
09/11/18,704.5,712.549988,697,699.400024,340208
12/11/18,700,707,690.25,698.799988,287598
13/11/18,688.549988,702.650024,680.400024,687.049988,539666
14/11/18,692,708.799988,689,699.5,591858
15/11/18,699.5,703.450012,684.150024,687.5,383090
16/11/18,691.950012,698.25,686,695.849976,245985
19/11/18,698.799988,705,693,700,556542
20/11/18,702,708,686.849976,691.5,657786
21/11/18,688.150024,693.75,679.200012,684.950012,438506
22/11/18,687,706.799988,687,699.400024,632573
26/11/18,700,707,689.950012,699.200012,426092
27/11/18,698,722.799988,696.049988,709.049988,1519838
28/11/18,712,715.5,689.25,692.5,652285
29/11/18,693.25,703.950012,690.049988,699.349976,863898
30/11/18,702.950012,715.5,691,697.450012,1367669
03/12/18,697.25,703.049988,691.200012,696.75,333425
04/12/18,697.049988,702,681.299988,683.299988,471713
05/12/18,682.5,683.650024,665,666.5,721646
06/12/18,663,675,660.650024,668.900024,778312
07/12/18,670,676.599976,662,673.950012,297103
10/12/18,666.849976,669.950012,654.200012,657.049988,364643
11/12/18,652,677.200012,652,671.349976,215086
12/12/18,672.349976,689.5,672.349976,688,454245
13/12/18,690,694.950012,685.049988,690.349976,252164
14/12/18,692,695.799988,683.299988,687.299988,218535
17/12/18,687,715.700012,687,705.450012,863343
18/12/18,707.900024,724.549988,702.150024,715.450012,1074991
19/12/18,715.25,722.599976,708.700012,711.799988,548934
20/12/18,707.650024,727.400024,703.200012,717.700012,730329
21/12/18,720,726,701.150024,704.599976,427860
24/12/18,704,717,699,710.150024,373167
26/12/18,710,714,686.75,701.25,461516
27/12/18,705,710.950012,698.049988,701.849976,841680
28/12/18,705.900024,715,705.900024,709.5,520899
31/12/18,711,720.799988,704.950012,706.700012,704148
01/01/19,708,712.650024,704.299988,705.299988,348294
02/01/19,706.900024,709.049988,697.049988,700.849976,763954
03/01/19,701.5,705.700012,691.099976,694.450012,452769
04/01/19,696,704.799988,694.5,698.450012,867853
07/01/19,702.650024,706,694.099976,699.900024,233122
08/01/19,699.900024,705,697,699.799988,232894
09/01/19,700.150024,701.549988,692.049988,697.150024,281106
10/01/19,695.099976,701.150024,695.099976,699.25,204863
11/01/19,699.299988,700.5,693.650024,697.75,169435
14/01/19,696.900024,697,691.549988,693.049988,242412
15/01/19,696,699,692.049988,695.349976,186170
16/01/19,695.099976,702.349976,693.150024,694.900024,238062
17/01/19,698,698,690.049988,693.099976,206158
18/01/19,691.200012,695.849976,685.549988,693.700012,185280
21/01/19,693.900024,697.700012,685.5,688.049988,236414
22/01/19,691,694,677.5,688.25,311208
23/01/19,688,692.5,678.700012,681.25,270584
24/01/19,680.25,690.150024,678.25,689.200012,379049
25/01/19,686,694,679.400024,682.450012,489577
28/01/19,680.099976,685.599976,656.799988,661.450012,555258
29/01/19,658.799988,671,656.299988,667.099976,398232
30/01/19,671,682.900024,666,680.299988,253234
31/01/19,677.599976,685.950012,671.799988,674.299988,417905
01/02/19,678,679,662,668,398868
04/02/19,664.650024,668.650024,655,657.349976,418631
05/02/19,657.349976,664.299988,641.150024,645.700012,635609
06/02/19,620,632.799988,586.349976,594.400024,5454124
07/02/19,594,602.75,588.900024,598.099976,1746832
